timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 11:32:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 990 MiB, 40960 MiB
2026/01/22 11:33:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 965 MiB, 40960 MiB
2026/01/22 11:34:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1173 MiB, 40960 MiB
2026/01/22 11:35:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 969 MiB, 40960 MiB
2026/01/22 11:36:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 993 MiB, 40960 MiB
2026/01/22 11:37:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1141 MiB, 40960 MiB
2026/01/22 11:38:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 805 MiB, 40960 MiB
2026/01/22 11:39:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1052 MiB, 40960 MiB
2026/01/22 11:40:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 988 MiB, 40960 MiB
2026/01/22 11:41:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1083 MiB, 40960 MiB
2026/01/22 11:42:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 740 MiB, 40960 MiB
2026/01/22 11:43:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 764 MiB, 40960 MiB
2026/01/22 11:44:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1005 MiB, 40960 MiB
2026/01/22 11:45:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 989 MiB, 40960 MiB
2026/01/22 11:46:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1012 MiB, 40960 MiB
2026/01/22 11:47:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 978 MiB, 40960 MiB
2026/01/22 11:48:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1157 MiB, 40960 MiB
2026/01/22 11:49:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 993 MiB, 40960 MiB
2026/01/22 11:50:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1099 MiB, 40960 MiB
2026/01/22 11:51:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 680 MiB, 40960 MiB
2026/01/22 11:52:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1227 MiB, 40960 MiB
2026/01/22 11:53:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 996 MiB, 40960 MiB
2026/01/22 11:54:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1134 MiB, 40960 MiB
2026/01/22 11:55:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 999 MiB, 40960 MiB
2026/01/22 11:56:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1048 MiB, 40960 MiB
2026/01/22 11:57:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 744 MiB, 40960 MiB
2026/01/22 11:58:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 929 MiB, 40960 MiB
2026/01/22 11:59:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 809 MiB, 40960 MiB
2026/01/22 12:00:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1278 MiB, 40960 MiB
2026/01/22 12:01:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 904 MiB, 40960 MiB
2026/01/22 12:02:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1080 MiB, 40960 MiB
2026/01/22 12:03:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 787 MiB, 40960 MiB
2026/01/22 12:04:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 917 MiB, 40960 MiB
2026/01/22 12:05:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 908 MiB, 40960 MiB
2026/01/22 12:06:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1059 MiB, 40960 MiB
2026/01/22 12:07:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 994 MiB, 40960 MiB
2026/01/22 12:08:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 999 MiB, 40960 MiB
2026/01/22 12:09:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 971 MiB, 40960 MiB
2026/01/22 12:10:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 882 MiB, 40960 MiB
2026/01/22 12:11:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 883 MiB, 40960 MiB
2026/01/22 12:12:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1190 MiB, 40960 MiB
2026/01/22 12:13:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1063 MiB, 40960 MiB
2026/01/22 12:14:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 791 MiB, 40960 MiB
2026/01/22 12:15:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 874 MiB, 40960 MiB
2026/01/22 12:16:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 915 MiB, 40960 MiB
2026/01/22 12:17:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 833 MiB, 40960 MiB
2026/01/22 12:18:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 961 MiB, 40960 MiB
2026/01/22 12:19:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 919 MiB, 40960 MiB
2026/01/22 12:20:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 857 MiB, 40960 MiB
2026/01/22 12:21:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 892 MiB, 40960 MiB
2026/01/22 12:22:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 949 MiB, 40960 MiB
2026/01/22 12:23:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 994 MiB, 40960 MiB
2026/01/22 12:24:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 851 MiB, 40960 MiB
2026/01/22 12:25:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 841 MiB, 40960 MiB
2026/01/22 12:26:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1160 MiB, 40960 MiB
2026/01/22 12:27:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 743 MiB, 40960 MiB
2026/01/22 12:28:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1086 MiB, 40960 MiB
2026/01/22 12:29:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 886 MiB, 40960 MiB
2026/01/22 12:30:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 968 MiB, 40960 MiB
2026/01/22 12:31:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 976 MiB, 40960 MiB
2026/01/22 12:32:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 989 MiB, 40960 MiB
2026/01/22 12:33:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1149 MiB, 40960 MiB
2026/01/22 12:34:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 930 MiB, 40960 MiB
2026/01/22 12:35:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1196 MiB, 40960 MiB
2026/01/22 12:36:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 894 MiB, 40960 MiB
2026/01/22 12:37:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 807 MiB, 40960 MiB
2026/01/22 12:38:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 914 MiB, 40960 MiB
2026/01/22 12:39:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1061 MiB, 40960 MiB
2026/01/22 12:40:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 824 MiB, 40960 MiB
2026/01/22 12:41:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1116 MiB, 40960 MiB
2026/01/22 12:42:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 858 MiB, 40960 MiB
2026/01/22 12:43:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 792 MiB, 40960 MiB
2026/01/22 12:44:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1040 MiB, 40960 MiB
2026/01/22 12:45:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 775 MiB, 40960 MiB
2026/01/22 12:46:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1120 MiB, 40960 MiB
2026/01/22 12:47:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 738 MiB, 40960 MiB
2026/01/22 12:48:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1150 MiB, 40960 MiB
2026/01/22 12:49:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 791 MiB, 40960 MiB
2026/01/22 12:50:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 973 MiB, 40960 MiB
2026/01/22 12:51:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 847 MiB, 40960 MiB
2026/01/22 12:52:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1106 MiB, 40960 MiB
2026/01/22 12:53:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 962 MiB, 40960 MiB
2026/01/22 12:54:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 658 MiB, 40960 MiB
2026/01/22 12:55:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1080 MiB, 40960 MiB
2026/01/22 12:56:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 790 MiB, 40960 MiB
2026/01/22 12:57:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 696 MiB, 40960 MiB
2026/01/22 12:58:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 857 MiB, 40960 MiB
2026/01/22 12:59:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1146 MiB, 40960 MiB
2026/01/22 13:00:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 845 MiB, 40960 MiB
2026/01/22 13:01:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 734 MiB, 40960 MiB
2026/01/22 13:02:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 923 MiB, 40960 MiB
2026/01/22 13:03:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1053 MiB, 40960 MiB
2026/01/22 13:04:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1049 MiB, 40960 MiB
2026/01/22 13:05:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 904 MiB, 40960 MiB
2026/01/22 13:06:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 901 MiB, 40960 MiB
2026/01/22 13:07:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 918 MiB, 40960 MiB
2026/01/22 13:08:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 992 MiB, 40960 MiB
2026/01/22 13:09:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 666 MiB, 40960 MiB
2026/01/22 13:10:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 891 MiB, 40960 MiB
2026/01/22 13:11:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1015 MiB, 40960 MiB
2026/01/22 13:12:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 985 MiB, 40960 MiB
2026/01/22 13:13:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 857 MiB, 40960 MiB
2026/01/22 13:14:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1203 MiB, 40960 MiB
2026/01/22 13:15:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1173 MiB, 40960 MiB
2026/01/22 13:16:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1149 MiB, 40960 MiB
2026/01/22 13:17:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 963 MiB, 40960 MiB
2026/01/22 13:18:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 702 MiB, 40960 MiB
2026/01/22 13:19:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1094 MiB, 40960 MiB
2026/01/22 13:20:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 962 MiB, 40960 MiB
2026/01/22 13:21:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 848 MiB, 40960 MiB
2026/01/22 13:22:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1034 MiB, 40960 MiB
2026/01/22 13:23:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 1 %, 505 MiB, 40960 MiB
2026/01/22 13:24:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 880 MiB, 40960 MiB
2026/01/22 13:25:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 764 MiB, 40960 MiB
2026/01/22 13:26:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1153 MiB, 40960 MiB
2026/01/22 13:27:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 735 MiB, 40960 MiB
2026/01/22 13:28:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 784 MiB, 40960 MiB
2026/01/22 13:29:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1286 MiB, 40960 MiB
2026/01/22 13:30:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1034 MiB, 40960 MiB
2026/01/22 13:31:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 983 MiB, 40960 MiB
2026/01/22 13:32:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 760 MiB, 40960 MiB
2026/01/22 13:33:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 804 MiB, 40960 MiB
